"","Date.Of.Stop","Time.Of.Stop","Agency","SubAgency","Description","Location","Latitude","Longitude","Accident","Belts","Personal.Injury","Property.Damage","Fatal","Commercial.License","HAZMAT","Commercial.Vehicle","Alcohol","Work.Zone","State","VehicleType","Year","Make","Model","Color","Violation.Type","Charge","Article","Contributed.To.Accident","Race","Gender","Driver.City","Driver.State","DL.State","Arrest.Type","Geolocation","State2"
"733560","01/13/2015","11:48:00","MCP","5th district, Germantown","MOTOR VEH.,  W/O REQUIRED STOP LAMPS EQUIPMENT","WISTERIA DR & GERMANTOWN RD",39.1770083333333,-77.270455,"No","No","No","No","No","No","No","No","No","No","AL","05 - Light Duty Truck",2001,"DODGE","DURANGO","GRAY","Warning","22-206(a)","Transportation Article","No","BLACK","M","DEERWOOD","MD","AL","A - Marked Patrol","(39.1770083333333, -77.270455)","Alabama"
"735261","08/07/2015","21:00:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS","WISCONSIN AVE @ MONTGOMERY LANE",38.98376,-77.0932533333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2013,"FORD","MUSTANG","SILVER","Warning","21-309(d)","Transportation Article","No","WHITE","M","HUNTSVILLE","AL","AL","A - Marked Patrol","(38.98376, -77.0932533333333)","Alabama"
"735262","08/07/2015","21:00:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","WISCONSIN AVE @ MONTGOMERY LANE",38.98376,-77.0932533333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2013,"FORD","MUSTANG","SILVER","Warning","21-201(a1)","Transportation Article","No","WHITE","M","HUNTSVILLE","AL","AL","A - Marked Patrol","(38.98376, -77.0932533333333)","Alabama"
"735949","07/17/2012","00:33:00","MCP","1st district, Rockville","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE","2800 TOWER OAKS BLVD",39.0592208833333,-77.1521351333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"MAZDA","TRIBUTE","BLACK","Warning","21-204(b)","Transportation Article","No","WHITE","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0592208833333, -77.1521351333333)","Alabama"
"739570","11/25/2013","19:51:00","MCP","4th district, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","UNIVERSITY BLVD WB / REEDIE DR",NA,NA,"No","No","No","No","No","Yes","No","No","No","No","AL","02 - Automobile",2004,"CADILLAC","DEVILLE","SILVER","Warning","21-201(a1)","Transportation Article","No","BLACK","M","BIRMINGHAM","AL","AL","A - Marked Patrol","","Alabama"
"739571","11/25/2013","19:51:00","MCP","4th district, Wheaton","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","UNIVERSITY BLVD WB / REEDIE DR",NA,NA,"No","No","No","No","No","Yes","No","No","No","No","AL","02 - Automobile",2004,"CADILLAC","DEVILLE","SILVER","Warning","21-202(h1)","Transportation Article","No","BLACK","M","BIRMINGHAM","AL","AL","A - Marked Patrol","","Alabama"
"740198","11/13/2013","00:42:00","MCP","3rd district, Silver Spring","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION","PINEY BRANCH @ UNIVERSITY BLVD",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"NISSAN","ALTIMA","GRAY","Warning","22-204(f)","Transportation Article","No","WHITE","F","GAITHERSBURG","MD","MD","A - Marked Patrol","","Alabama"
"740985","07/13/2013","14:55:00","MCP","3rd district, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","COLUMBIA PIKE/STEWART LANE",39.0507800833333,-76.97991035,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2011,"TOYOTA","COROLLA","BLUE","Warning","21-201(a1)","Transportation Article","No","BLACK","M","AUBURN","AL","AL","A - Marked Patrol","(39.0507800833333, -76.97991035)","Alabama"
"745133","08/03/2015","13:17:00","MCP","4th district, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","3400 BLK OF UNIVERSITY BLVD",38.9865983333333,-77.0922616666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2013,"FORD","FUSION","BLACK","Warning","21-801.1","Transportation Article","No","BLACK","M","WHEATON","MD","AL","A - Marked Patrol","(38.9865983333333, -77.0922616666667)","Alabama"
"745570","07/26/2013","00:17:00","MCP","1st district, Rockville","MOTOR VEhicle W/O REQUIRED STOP LAMPS EQUIPMENT","900 ROCKVILLE PIKE",39.0721578166667,-77.1334688,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"YUKON","GMC","GRAY","Warning","22-206(a)","Transportation Article","No","BLACK","M","DAPHNE","AL","AL","A - Marked Patrol","(39.0721578166667, -77.1334688)","Alabama"
"745571","07/26/2013","00:17:00","MCP","1st district, Rockville","DRIVER CONSUMING ALCOHOLIC BEVERAGE IN PASSENGER AREA OF MOTOR VEHICLE ON HIGHWAY","900 ROCKVILLE PIKE",39.0721578166667,-77.1334688,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"YUKON","GMC","GRAY","Warning","21-903(c)","Transportation Article","No","BLACK","M","DAPHNE","AL","AL","A - Marked Patrol","(39.0721578166667, -77.1334688)","Alabama"
"747336","02/13/2014","16:36:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","WISCONSIN AVE/WILLOW LN",38.98038,-77.0924833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"LEXUS","4DR","SILVER","Warning","21-202(h1)","Transportation Article","No","WHITE","M","WASHINGTON","DC","AL","A - Marked Patrol","(38.98038, -77.0924833333333)","Alabama"
"747337","02/13/2014","16:36:00","MCP","2nd district, Bethesda","FAILURE TO NOTIFY ADM. OF ADDRESS CHANGE WITHIN 30 DAYS","WISCONSIN AVE/WILLOW LN",38.98038,-77.0924833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"LEXUS","4DR","SILVER","Warning","13-414(a)","Transportation Article","No","WHITE","M","WASHINGTON","DC","AL","A - Marked Patrol","(38.98038, -77.0924833333333)","Alabama"
"747515","01/03/2015","00:39:00","MCP","2nd district, Bethesda","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","ROCKVILLE PIKE/W. CEDAR LN",39.01268,-77.09848,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2011,"CHEVROLET","TRUCK","SILVER","Warning","21-801.1","Transportation Article","No","WHITE","M","HUEYTOWN","AL","AL","A - Marked Patrol","(39.01268, -77.09848)","Alabama"
"748007","11/24/2012","05:24:00","MCP","3rd district, Silver Spring","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","SB COLESVILLE RD @ LANARK WAY",39.0186756333333,-77.0147283333333,"No","No","No","No","No","No","No","No","No","No","AB","02 - Automobile",2010,"CHEVROLET","VAN","RED","Warning","22-201.1","Transportation Article","No","WHITE","M","KENSINGTON","MD","MD","A - Marked Patrol","(39.0186756333333, -77.0147283333333)","Alabama"
"748392","06/06/2012","22:07:00","MCP","6th district, Gaithersburg / Montgomery Village","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION","N SUMMIT AVE AT PARK AVE",39.1459398166667,-77.1937885833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"CADILLAC","4S","BLUE","Warning","22-204(f)","Transportation Article","No","WHITE","M","GAITHERSBURG","MD","MD","A - Marked Patrol","(39.1459398166667, -77.1937885833333)","Alabama"
"750497","02/19/2012","20:41:00","MCP","2nd district, Bethesda","TAILLIGHT INOPERATIVE","WISCONSIN AVE / CHESTNUT ST",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"CHEVY","COLORADO","BLUE","Warning","11-393.9","Maryland Rules","No","WHITE","M","BIRMINGHAM","AL","AL","A - Marked Patrol","","Alabama"
"750792","09/07/2012","21:52:00","MCP","5th district, Germantown","FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP","GERMANTOWN RD AND I-270 NB RAMP",39.1857534333333,-77.2534776,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"NISSAN","MAXIMA","BLACK","Warning","22-219(a)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.1857534333333, -77.2534776)","Alabama"
"756763","05/26/2012","00:48:00","MCP","3rd district, Silver Spring","FAILURE TO PROPERLY MAINTAIN AND FASTEN VEHICLE REGISTRATION PLATE IN VISIBLE POSITION","US29/CHERRY HILL RD",39.0597642,-76.96513315,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"TOYOTA","COROLLA","GREEN, DK","Warning","13-411(c)","Transportation Article","No","BLACK","M","EUTAW","AL","AL","A - Marked Patrol","(39.0597642, -76.96513315)","Alabama"
"756764","05/26/2012","00:48:00","MCP","3rd district, Silver Spring","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","US29/CHERRY HILL RD",39.0597642,-76.96513315,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"TOYOTA","COROLLA","GREEN, DK","Warning","13-409(b)","Transportation Article","No","BLACK","M","EUTAW","AL","AL","A - Marked Patrol","(39.0597642, -76.96513315)","Alabama"
"758346","06/09/2012","20:24:00","MCP","3rd district, Silver Spring","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","COLUMBIA PIKE/ MUSGROVE RD",39.0668465,-76.9600871333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"KIA","FORTE 4DR","BLACK","Warning","21-202(h1)","Transportation Article","No","WHITE","F","HANCEVILLE","AL","AL","A - Marked Patrol","(39.0668465, -76.9600871333333)","Alabama"
"758438","08/02/2014","23:00:00","MCP","3rd district, Silver Spring","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED","UNIVERSITY BLVD E/ CARROLL AVE",38.9932333333333,-76.99283,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2013,"TOYOTA","CAMRY","SILVER","Warning","22-226(a)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(38.9932333333333, -76.99283)","Alabama"
"758439","08/02/2014","23:00:00","MCP","3rd district, Silver Spring","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","UNIVERSITY BLVD E/ CARROLL AVE",38.9932333333333,-76.99283,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2013,"TOYOTA","CAMRY","SILVER","Warning","22-201.1","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(38.9932333333333, -76.99283)","Alabama"
"761409","03/27/2013","16:35:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","KENSINGTON PKWY/",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"NISSAN","ALTIMA","GREEN","Warning","21-201(a1)","Transportation Article","No","WHITE","F","HOMEWOOD","AL","AL","A - Marked Patrol","","Alabama"
"765293","10/27/2012","23:43:00","MCP","4th district, Wheaton","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED","700 SLIGO AVE",38.9907465666667,-77.0168860333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"BMW","X5","SILVER","Warning","22-226(a)","Transportation Article","No","BLACK","M","UPPER MARLBORO","MD","MD","A - Marked Patrol","(38.9907465666667, -77.0168860333333)","Alabama"
"770064","06/24/2014","18:49:00","MCP","4th district, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","LAYHILL RD/MIDDLVALE DR.",39.090475,-77.0561466666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"PONTIAC","GRAND PRIX","GREEN, DK","Warning","21-801.1","Transportation Article","No","BLACK","M","INDIANAPOLIS","IN","AL","A - Marked Patrol","(39.090475, -77.0561466666667)","Alabama"
"771743","07/31/2015","01:05:00","MCP","5th district, Germantown","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","RIDGE RD / OBSERVATION",39.2017133333333,-77.25035,"No","No","No","No","No","No","No","No","No","No","AL","05 - Light Duty Truck",2011,"NISSAN","PU","RED","Warning","21-204(d)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.2017133333333, -77.25035)","Alabama"
"772486","03/26/2013","22:32:00","MCP","4th district, Wheaton","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION","S/B GEORGIA AVE @  DENNIS AVE",39.0237523833333,-77.0457549666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1999,"INFINITI","G20","RED","Warning","22-204(f)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0237523833333, -77.0457549666667)","Alabama"
"773271","06/03/2013","22:38:00","MCP","3rd district, Silver Spring","FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS","GEORGIA AVE AT SILVER SPRING AVE",38.99075385,-77.0266827833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"LEXUS","4D","BLACK","Warning","13-411(c1)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","AL","A - Marked Patrol","(38.99075385, -77.0266827833333)","Alabama"
"779353","02/22/2014","19:48:00","MCP","1st district, Rockville","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","WHITES FERRY RD /MORROW RD",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"TOYOTA","COROLLA","BLUE","Warning","21-801.1","Transportation Article","No","WHITE","F","GERMANTOWN","MD","MD","A - Marked Patrol","","Alabama"
"779354","02/22/2014","19:48:00","MCP","1st district, Rockville","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 57 IN 40","WHITES FERRY RD /MORROW RD",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"TOYOTA","COROLLA","BLUE","Warning","21-801(a)","Transportation Article","No","WHITE","F","GERMANTOWN","MD","MD","A - Marked Patrol","","Alabama"
"781172","08/13/2013","16:03:00","MCP","4th district, Wheaton","DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW","108 ON S/B GEORGIA AVE",39.1540550666667,-77.0682211833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"TOYOTA","4S","SILVER","Warning","21-1104(c)","Transportation Article","No","HISPANIC","M","MONTGOMERY VILLAGE","MD","MD","A - Marked Patrol","(39.1540550666667, -77.0682211833333)","Alabama"
"782437","02/07/2012","20:42:00","MCP","4th district, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH","CONNECTICUT AT DEAN",39.0744163833333,-77.0791308333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2010,"FORD","ESCAPE","BLUE","Warning","21-801.1","Transportation Article","No","WHITE","F","ROCKVILLE","MD","MD","Q - Marked Laser","(39.0744163833333, -77.0791308333333)","Alabama"
"782976","07/22/2013","10:19:00","MCP","4th district, Wheaton","FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.","GEORGIA AVE AT CONNECTICUT AVE",39.0842716666667,-77.07623,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1994,"HONDA","ACCORD","GREEN, LGT","Warning","13-410(e2)","Transportation Article","No","BLACK","M","BIRMINGHAM","AL","AL","A - Marked Patrol","(39.0842716666667, -77.07623)","Alabama"
"782977","07/22/2013","10:19:00","MCP","4th district, Wheaton","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","GEORGIA AVE AT CONNECTICUT AVE",39.0842716666667,-77.07623,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1994,"HONDA","ACCORD","GREEN, LGT","Warning","13-409(b)","Transportation Article","No","BLACK","M","BIRMINGHAM","AL","AL","A - Marked Patrol","(39.0842716666667, -77.07623)","Alabama"
"784456","01/03/2012","23:31:00","MCP","4th district, Wheaton","STOPLIGHT INOPERATIVE","HOMECREST DR / BEL PRE RD",39.0918794666667,-77.0625774,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2000,"LAND ROVER","RNGROVER","BLUE, DARK","Warning","11-393.9","Maryland Rules","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0918794666667, -77.0625774)","Alabama"
"786432","07/24/2014","17:01:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","WOODGLEN DRIVE AT EDSON LANE",39.040235,-77.1135633333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2005,"BMW","X3","GRAY","Warning","21-201(a1)","Transportation Article","No","OTHER","M","COLUMBIANA","AL","AL","A - Marked Patrol","(39.040235, -77.1135633333333)","Alabama"
"790180","11/08/2013","00:42:00","MCP","3rd district, Silver Spring","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE","WAYNE AVE/DALE DRIVE",38.9986766666667,-77.02032,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"ACURA","3.5RL","WHITE","Warning","21-204(b)","Transportation Article","No","WHITE","F","BIRMINGHAM","AL","AL","A - Marked Patrol","(38.9986766666667, -77.02032)","Alabama"
"792638","01/27/2012","12:38:00","MCP","4th district, Wheaton","DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK NOT CONTRIBUTING TO ACCIDENT","11160 VEIRS MILL RD",39.0589753833333,-77.0682454166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2011,"CHEV","HHR 4S","SILVER","Warning","21-502(a2)","Transportation Article","No","WHITE","M","WASHINGTON","DC","DC","A - Marked Patrol","(39.0589753833333, -77.0682454166667)","Alabama"
"793834","08/05/2012","10:58:00","MCP","6th district, Gaithersburg / Montgomery Village","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","CLOPPER RD @ W WATKINS MILL RD",39.1480851333333,-77.2357696833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2011,"NISSAN","VERSA 4S","BLACK","Warning","21-202(h1)","Transportation Article","No","ASIAN","M","GAITHERSBURG","MD","MD","A - Marked Patrol","(39.1480851333333, -77.2357696833333)","Alabama"
"795502","03/25/2015","20:53:00","MCP","Headquarters and Special Operations","DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT","VEIRS MILL RD/REEDIE DR",39.03881,-77.0535616666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2001,"FORD","CROWN VICTORIA","GREEN","Warning","23-104","Transportation Article","No","BLACK","M","TUSKEGEE INSTITUTE","AL","AL","B - Unmarked Patrol","(39.03881, -77.0535616666667)","Alabama"
"797430","07/03/2012","00:02:00","MCP","3rd district, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","GEORGIA AVE/COLESVILLE RD",38.9971847833333,-77.02721425,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"FORD","EXPLORER","BLUE","Warning","21-201(a1)","Transportation Article","No","BLACK","F","WHEATON","MD","AL","A - Marked Patrol","(38.9971847833333, -77.02721425)","Alabama"
"797767","03/19/2013","23:45:00","MCP","3rd district, Silver Spring","MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT","8200 BLK GEORGIA AVE",38.9925850833333,-77.0265712166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2000,"CHEVROLET","TAHOE","WHITE","Warning","22-206(a)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","AL","A - Marked Patrol","(38.9925850833333, -77.0265712166667)","Alabama"
"802977","05/08/2012","02:51:00","MCP","Headquarters and Special Operations","DISPLAYING EXPIRED REGISTRATION PLATES ISSUED BY ANY STATE","LOCKWOOD DR AT NEW HAMPSHIRE AVE",39.03888455,-76.9905339166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"DODGE","STRATUS","GRAY","Warning","13-411(f)","Transportation Article","No","BLACK","M","ACCOKEEK","MD","MD","A - Marked Patrol","(39.03888455, -76.9905339166667)","Alabama"
"807923","08/27/2013","08:34:00","MCP","3rd district, Silver Spring","FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP","GEORGIA AVE @ SLIGO AVE",38.9916383333333,-77.0255683333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1994,"NISSAN","ALTIMA","GREEN","Warning","22-219(a)","Transportation Article","No","BLACK","M","WASHINGTON","DC","DC","A - Marked Patrol","(38.9916383333333, -77.0255683333333)","Alabama"
"811281","10/09/2012","23:40:00","MCP","3rd district, Silver Spring","MOTOR VEH.W/O REQUIRED STOP LAMPS EQUIPMENT","GEORGIA AVE AT EAST WEST HIGHWAY",38.98971915,-77.02942885,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1994,"TOYOTA","CAMRY LE","GREEN","Warning","22-206(a)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","GA","A - Marked Patrol","(38.98971915, -77.02942885)","Alabama"
"811338","12/01/2012","23:52:00","MCP","3rd district, Silver Spring","FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS","GEORGIA AVE AT SILVER SPRING AVE",38.99173565,-77.0268359333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2000,"LAND ROVER","RANGE ROVER","BLUE","Warning","13-411(c1)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(38.99173565, -77.0268359333333)","Alabama"
"811968","03/24/2014","00:02:00","MCP","3rd district, Silver Spring","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION","GEORGIA AVE AT EAST WEST HIGHWAY",38.9883216666667,-77.0265516666667,"No","No","No","No","No","No","No","No","No","No","AB","02 - Automobile",2004,"JEEP","CHEROKEE","BLUE, DARK","Warning","22-204(f)","Transportation Article","No","OTHER","M","EDMONTON","AB","AB","A - Marked Patrol","(38.9883216666667, -77.0265516666667)","Alabama"
"812498","10/14/2015","22:58:00","MCP","3rd district, Silver Spring","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION","PINEY BRANCH RD AT CARROLL AVE",38.99973,-76.99187,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"FORD","FOCUS","BLUE, DARK","Warning","22-204(f)","Transportation Article","No","OTHER","M","SILVER SPRING","MD","MD","A - Marked Patrol","(38.99973, -76.99187)","Alabama"
"813198","11/10/2013","14:57:00","MCP","1st district, Rockville","FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP","E GUDE / 355",39.106425,-77.1560383333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2001,"JEEP","CHEROKEE","BROWN","Warning","22-219(a)","Transportation Article","No","WHITE","M","MOBILE","AL","AL","A - Marked Patrol","(39.106425, -77.1560383333333)","Alabama"
"825188","05/18/2012","11:13:00","MCP","3rd district, Silver Spring","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","SB NEW HAMPSHIRE AVENUE/ OVERLOOK DR",39.0359596666667,-77.02348825,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2001,"FORD","EXPEDITION","RED","Warning","21-801.1","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0359596666667, -77.02348825)","Alabama"
"832545","03/29/2015","19:22:00","MCP","4th district, Wheaton","KNOWINGLY USING FALSIFIED VEH. REG. PLATE","325 SOUTHAMPTON DR",39.00558,-76.9815183333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"DODGE","DURANGO","PURPLE","Warning","14-110(g)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.00558, -76.9815183333333)","Alabama"
"832546","03/29/2015","19:22:00","MCP","4th district, Wheaton","PARKING UNREGISTERED MOTOR VEHICLE","325 SOUTHAMPTON DR",39.00558,-76.9815183333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"DODGE","DURANGO","PURPLE","Warning","13-402(a2)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.00558, -76.9815183333333)","Alabama"
"832547","03/29/2015","19:22:00","MCP","4th district, Wheaton","UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE","325 SOUTHAMPTON DR",39.00558,-76.9815183333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"DODGE","DURANGO","PURPLE","Warning","13-703(g)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.00558, -76.9815183333333)","Alabama"
"833676","03/14/2015","20:03:00","MCP","3rd district, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","BRIGGS CHANEY AT OUTLET DR",39.0823183333333,-76.9476666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"CHEVY","SILVERADO","BLACK","Warning","21-201(a1)","Transportation Article","No","WHITE","M","SILVER SPRING","MD","AL","A - Marked Patrol","(39.0823183333333, -76.9476666666667)","Alabama"
"833677","03/14/2015","20:03:00","MCP","3rd district, Silver Spring","FAILURE TO NOTIFY ADM. OF ADDRESS CHANGE WITHIN 30 DAYS","BRIGGS CHANEY AT OUTLET DR",39.0823183333333,-76.9476666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"CHEVY","SILVERADO","BLACK","Warning","13-414(a)","Transportation Article","No","WHITE","M","SILVER SPRING","MD","AL","A - Marked Patrol","(39.0823183333333, -76.9476666666667)","Alabama"
"837978","03/04/2013","01:08:00","MCP","3rd district, Silver Spring","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION","LOCKWOOD DR. @ NEW HAMPSHIRE",39.0411855,-76.9855016833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",0,"GMC","JIMMY","RED","Warning","22-204(f)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","AL","A - Marked Patrol","(39.0411855, -76.9855016833333)","Alabama"
"840609","04/24/2013","01:54:00","MCP","6th district, Gaithersburg / Montgomery Village","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","GREAT SENECA HWY / MUDDY BRANCH RD",39.10918955,-77.2118865333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"MERCURY","SABLE","GRAY","Warning","21-204(d)","Transportation Article","No","OTHER","F","GAITHERSBURG","MD","MD","A - Marked Patrol","(39.10918955, -77.2118865333333)","Alabama"
